"entrezgene","external_gene_name","gene_biotype","description"
9853,"RUSC2","protein_coding","RUN and SH3 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:23625]"
9859,"CEP170","protein_coding","centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]"
9866,"TRIM66","protein_coding","tripartite motif containing 66 [Source:HGNC Symbol;Acc:HGNC:29005]"
9870,"AREL1","protein_coding","apoptosis resistant E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:20363]"
988,"CDC5L","protein_coding","cell division cycle 5 like [Source:HGNC Symbol;Acc:HGNC:1743]"
9928,"KIF14","protein_coding","kinesin family member 14 [Source:HGNC Symbol;Acc:HGNC:19181]"
100113407,"TMEM170B","protein_coding","transmembrane protein 170B [Source:HGNC Symbol;Acc:HGNC:34244]"
1003,"CDH5","protein_coding","cadherin 5 [Source:HGNC Symbol;Acc:HGNC:1764]"
10082,"GPC6","protein_coding","glypican 6 [Source:HGNC Symbol;Acc:HGNC:4454]"
100996693,"SPEG","protein_coding","SPEG complex locus [Source:HGNC Symbol;Acc:HGNC:16901]"
10105,"PPIF","protein_coding","peptidylprolyl isomerase F [Source:HGNC Symbol;Acc:HGNC:9259]"
10126,"DNAL4","protein_coding","dynein axonemal light chain 4 [Source:HGNC Symbol;Acc:HGNC:2955]"
1029,"CDKN2A","protein_coding","cyclin dependent kinase inhibitor 2A [Source:HGNC Symbol;Acc:HGNC:1787]"
10363,"HMG20A","protein_coding","high mobility group 20A [Source:HGNC Symbol;Acc:HGNC:5001]"
10385,"BTN2A2","protein_coding","butyrophilin subfamily 2 member A2 [Source:HGNC Symbol;Acc:HGNC:1137]"
10398,"MYL9","protein_coding","myosin light chain 9 [Source:HGNC Symbol;Acc:HGNC:15754]"
10452,"TOMM40","protein_coding","translocase of outer mitochondrial membrane 40 [Source:HGNC Symbol;Acc:HGNC:18001]"
10456,"HAX1","protein_coding","HCLS1 associated protein X-1 [Source:HGNC Symbol;Acc:HGNC:16915]"
10482,"NXF1","protein_coding","nuclear RNA export factor 1 [Source:HGNC Symbol;Acc:HGNC:8071]"
10616,"RBCK1","protein_coding","RANBP2-type and C3HC4-type zinc finger containing 1 [Source:HGNC Symbol;Acc:HGNC:15864]"
10718,"NRG3","protein_coding","neuregulin 3 [Source:HGNC Symbol;Acc:HGNC:7999]"
10794,"ZNF460","protein_coding","zinc finger protein 460 [Source:HGNC Symbol;Acc:HGNC:21628]"
10863,"ADAM28","protein_coding","ADAM metallopeptidase domain 28 [Source:HGNC Symbol;Acc:HGNC:206]"
10938,"EHD1","protein_coding","EH domain containing 1 [Source:HGNC Symbol;Acc:HGNC:3242]"
10999,"SLC27A4","protein_coding","solute carrier family 27 member 4 [Source:HGNC Symbol;Acc:HGNC:10998]"
11092,"SPACA9","protein_coding","sperm acrosome associated 9 [Source:HGNC Symbol;Acc:HGNC:1367]"
11176,"BAZ2A","protein_coding","bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]"
11264,"PXMP4","protein_coding","peroxisomal membrane protein 4 [Source:HGNC Symbol;Acc:HGNC:15920]"
11270,"NRM","protein_coding","nurim [Source:HGNC Symbol;Acc:HGNC:8003]"
11320,"MGAT4A","protein_coding","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]"
11330,"CTRC","protein_coding","chymotrypsin C [Source:HGNC Symbol;Acc:HGNC:2523]"
116154,"PHACTR3","protein_coding","phosphatase and actin regulator 3 [Source:HGNC Symbol;Acc:HGNC:15833]"
118429,"ANTXR2","protein_coding","ANTXR cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:21732]"
118980,"SFXN2","protein_coding","sideroflexin 2 [Source:HGNC Symbol;Acc:HGNC:16086]"
119,"ADD2","protein_coding","adducin 2 [Source:HGNC Symbol;Acc:HGNC:244]"
122809,"SOCS4","protein_coding","suppressor of cytokine signaling 4 [Source:HGNC Symbol;Acc:HGNC:19392]"
1236,"CCR7","protein_coding","C-C motif chemokine receptor 7 [Source:HGNC Symbol;Acc:HGNC:1608]"
1244,"ABCC2","protein_coding","ATP binding cassette subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:53]"
124842,"TMEM132E","protein_coding","transmembrane protein 132E [Source:HGNC Symbol;Acc:HGNC:26991]"
124930,"ANKRD13B","protein_coding","ankyrin repeat domain 13B [Source:HGNC Symbol;Acc:HGNC:26363]"
125058,"TBC1D16","protein_coding","TBC1 domain family member 16 [Source:HGNC Symbol;Acc:HGNC:28356]"
126364,"LRRC25","protein_coding","leucine rich repeat containing 25 [Source:HGNC Symbol;Acc:HGNC:29806]"
126567,"C2CD4C","protein_coding","C2 calcium dependent domain containing 4C [Source:HGNC Symbol;Acc:HGNC:29417]"
128822,"CST9","protein_coding","cystatin 9 [Source:HGNC Symbol;Acc:HGNC:13261]"
128954,"GAB4","protein_coding","GRB2 associated binding protein family member 4 [Source:HGNC Symbol;Acc:HGNC:18325]"
129080,"EMID1","protein_coding","EMI domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18036]"
1302,"COL11A2","protein_coding","collagen type XI alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2187]"
131870,"NUDT16","protein_coding","nudix hydrolase 16 [Source:HGNC Symbol;Acc:HGNC:26442]"
132112,"RTP1","protein_coding","receptor transporter protein 1 [Source:HGNC Symbol;Acc:HGNC:28580]"
133619,"PRRC1","protein_coding","proline rich coiled-coil 1 [Source:HGNC Symbol;Acc:HGNC:28164]"
134288,"TMEM174","protein_coding","transmembrane protein 174 [Source:HGNC Symbol;Acc:HGNC:28187]"
1390,"CREM","protein_coding","cAMP responsive element modulator [Source:HGNC Symbol;Acc:HGNC:2352]"
1404,"HAPLN1","protein_coding","hyaluronan and proteoglycan link protein 1 [Source:HGNC Symbol;Acc:HGNC:2380]"
140456,"ASB11","protein_coding","ankyrin repeat and SOCS box containing 11 [Source:HGNC Symbol;Acc:HGNC:17186]"
140766,"ADAMTS14","protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol;Acc:HGNC:14899]"
140775,"SMCR8","protein_coding","Smith-Magenis syndrome chromosome region, candidate 8 [Source:HGNC Symbol;Acc:HGNC:17921]"
140831,"ZSWIM3","protein_coding","zinc finger SWIM-type containing 3 [Source:HGNC Symbol;Acc:HGNC:16157]"
141,"ADPRH","protein_coding","ADP-ribosylarginine hydrolase [Source:HGNC Symbol;Acc:HGNC:269]"
1432,"MAPK14","protein_coding","mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]"
147372,"CCBE1","protein_coding","collagen and calcium binding EGF domains 1 [Source:HGNC Symbol;Acc:HGNC:29426]"
149986,"LSM14B","protein_coding","LSM family member 14B [Source:HGNC Symbol;Acc:HGNC:15887]"
151194,"METTL21A","protein_coding","methyltransferase like 21A [Source:HGNC Symbol;Acc:HGNC:30476]"
153768,"PRELID2","protein_coding","PRELI domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28306]"
158326,"FREM1","protein_coding","FRAS1 related extracellular matrix 1 [Source:HGNC Symbol;Acc:HGNC:23399]"
159371,"SLC35G1","protein_coding","solute carrier family 35 member G1 [Source:HGNC Symbol;Acc:HGNC:26607]"
160335,"TMTC2","protein_coding","transmembrane and tetratricopeptide repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:25440]"
162681,"C18orf54","protein_coding","chromosome 18 open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:13796]"
1639,"DCTN1","protein_coding","dynactin subunit 1 [Source:HGNC Symbol;Acc:HGNC:2711]"
165918,"RNF168","protein_coding","ring finger protein 168 [Source:HGNC Symbol;Acc:HGNC:26661]"
167681,"PRSS35","protein_coding","serine protease 35 [Source:HGNC Symbol;Acc:HGNC:21387]"
169714,"QSOX2","protein_coding","quiescin sulfhydryl oxidase 2 [Source:HGNC Symbol;Acc:HGNC:30249]"
1738,"DLD","protein_coding","dihydrolipoamide dehydrogenase [Source:HGNC Symbol;Acc:HGNC:2898]"
1821,"DRP2","protein_coding","dystrophin related protein 2 [Source:HGNC Symbol;Acc:HGNC:3032]"
1838,"DTNB","protein_coding","dystrobrevin beta [Source:HGNC Symbol;Acc:HGNC:3058]"
1849,"DUSP7","protein_coding","dual specificity phosphatase 7 [Source:HGNC Symbol;Acc:HGNC:3073]"
1871,"E2F3","protein_coding","E2F transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:3115]"
1889,"ECE1","protein_coding","endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:HGNC:3146]"
1906,"EDN1","protein_coding","endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]"
1912,"PHC2","protein_coding","polyhomeotic homolog 2 [Source:HGNC Symbol;Acc:HGNC:3183]"
1952,"CELSR2","protein_coding","cadherin EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]"
1996,"ELAVL4","protein_coding","ELAV like RNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:3315]"
200205,"IBA57","protein_coding","IBA57, iron-sulfur cluster assembly [Source:HGNC Symbol;Acc:HGNC:27302]"
200933,"FBXO45","protein_coding","F-box protein 45 [Source:HGNC Symbol;Acc:HGNC:29148]"
201292,"TRIM65","protein_coding","tripartite motif containing 65 [Source:HGNC Symbol;Acc:HGNC:27316]"
201627,"DENND6A","protein_coding","DENN domain containing 6A [Source:HGNC Symbol;Acc:HGNC:26635]"
203245,"NAIF1","protein_coding","nuclear apoptosis inducing factor 1 [Source:HGNC Symbol;Acc:HGNC:25446]"
203286,"ANKS6","protein_coding","ankyrin repeat and sterile alpha motif domain containing 6 [Source:HGNC Symbol;Acc:HGNC:26724]"
206338,"LVRN","protein_coding","laeverin [Source:HGNC Symbol;Acc:HGNC:26904]"
2104,"ESRRG","protein_coding","estrogen related receptor gamma [Source:HGNC Symbol;Acc:HGNC:3474]"
219743,"TYSND1","protein_coding","trypsin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28531]"
219902,"TMEM136","protein_coding","transmembrane protein 136 [Source:HGNC Symbol;Acc:HGNC:28280]"
220074,"LRTOMT","protein_coding","leucine rich transmembrane and O-methyltransferase domain containing [Source:HGNC Symbol;Acc:HGNC:25033]"
221092,"HNRNPUL2","protein_coding","heterogeneous nuclear ribonucleoprotein U like 2 [Source:HGNC Symbol;Acc:HGNC:25451]"
221662,"RBM24","protein_coding","RNA binding motif protein 24 [Source:HGNC Symbol;Acc:HGNC:21539]"
222234,"FAM185A","protein_coding","family with sequence similarity 185 member A [Source:HGNC Symbol;Acc:HGNC:22412]"
2263,"FGFR2","protein_coding","fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]"
22818,"COPZ1","protein_coding","coatomer protein complex subunit zeta 1 [Source:HGNC Symbol;Acc:HGNC:2243]"
22852,"ANKRD26","protein_coding","ankyrin repeat domain 26 [Source:HGNC Symbol;Acc:HGNC:29186]"
22861,"NLRP1","protein_coding","NLR family pyrin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14374]"
22885,"ABLIM3","protein_coding","actin binding LIM protein family member 3 [Source:HGNC Symbol;Acc:HGNC:29132]"
22933,"SIRT2","protein_coding","sirtuin 2 [Source:HGNC Symbol;Acc:HGNC:10886]"
2306,"FOXD2","protein_coding","forkhead box D2 [Source:HGNC Symbol;Acc:HGNC:3803]"
23095,"KIF1B","protein_coding","kinesin family member 1B [Source:HGNC Symbol;Acc:HGNC:16636]"
23097,"CDK19","protein_coding","cyclin dependent kinase 19 [Source:HGNC Symbol;Acc:HGNC:19338]"
2319,"FLOT2","protein_coding","flotillin 2 [Source:HGNC Symbol;Acc:HGNC:3758]"
23218,"NBEAL2","protein_coding","neurobeachin like 2 [Source:HGNC Symbol;Acc:HGNC:31928]"
23245,"ASTN2","protein_coding","astrotactin 2 [Source:HGNC Symbol;Acc:HGNC:17021]"
23305,"ACSL6","protein_coding","acyl-CoA synthetase long chain family member 6 [Source:HGNC Symbol;Acc:HGNC:16496]"
23306,"NEMP1","protein_coding","nuclear envelope integral membrane protein 1 [Source:HGNC Symbol;Acc:HGNC:29001]"
23314,"SATB2","protein_coding","SATB homeobox 2 [Source:HGNC Symbol;Acc:HGNC:21637]"
23344,"ESYT1","protein_coding","extended synaptotagmin 1 [Source:HGNC Symbol;Acc:HGNC:29534]"
23381,"SMG5","protein_coding","SMG5, nonsense mediated mRNA decay factor [Source:HGNC Symbol;Acc:HGNC:24644]"
23401,"FRAT2","protein_coding","FRAT2, WNT signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:16048]"
23405,"DICER1","protein_coding","dicer 1, ribonuclease III [Source:HGNC Symbol;Acc:HGNC:17098]"
23408,"SIRT5","protein_coding","sirtuin 5 [Source:HGNC Symbol;Acc:HGNC:14933]"
23415,"KCNH4","protein_coding","potassium voltage-gated channel subfamily H member 4 [Source:HGNC Symbol;Acc:HGNC:6253]"
23476,"BRD4","protein_coding","bromodomain containing 4 [Source:HGNC Symbol;Acc:HGNC:13575]"
23507,"LRRC8B","protein_coding","leucine rich repeat containing 8 VRAC subunit B [Source:HGNC Symbol;Acc:HGNC:30692]"
23554,"TSPAN12","protein_coding","tetraspanin 12 [Source:HGNC Symbol;Acc:HGNC:21641]"
23585,"TMEM50A","protein_coding","transmembrane protein 50A [Source:HGNC Symbol;Acc:HGNC:30590]"
2359,"FPR3","protein_coding","formyl peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:3828]"
23677,"SH3BP4","protein_coding","SH3 domain binding protein 4 [Source:HGNC Symbol;Acc:HGNC:10826]"
253558,"LCLAT1","protein_coding","lysocardiolipin acyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26756]"
254251,"LCORL","protein_coding","ligand dependent nuclear receptor corepressor like [Source:HGNC Symbol;Acc:HGNC:30776]"
254427,"PROSER2","protein_coding","proline and serine rich 2 [Source:HGNC Symbol;Acc:HGNC:23728]"
254531,"LPCAT4","protein_coding","lysophosphatidylcholine acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:30059]"
255488,"RNF144B","protein_coding","ring finger protein 144B [Source:HGNC Symbol;Acc:HGNC:21578]"
256472,"TMEM151A","protein_coding","transmembrane protein 151A [Source:HGNC Symbol;Acc:HGNC:28497]"
256643,"BCLAF3","protein_coding","BCLAF1 and THRAP3 family member 3 [Source:HGNC Symbol;Acc:HGNC:27413]"
25804,"LSM4","protein_coding","LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated [Source:HGNC Symbol;Acc:HGNC:17259]"
25818,"KLK5","protein_coding","kallikrein related peptidase 5 [Source:HGNC Symbol;Acc:HGNC:6366]"
25822,"DNAJB5","protein_coding","DnaJ heat shock protein family (Hsp40) member B5 [Source:HGNC Symbol;Acc:HGNC:14887]"
25830,"SULT4A1","protein_coding","sulfotransferase family 4A member 1 [Source:HGNC Symbol;Acc:HGNC:14903]"
25849,"PARM1","protein_coding","prostate androgen-regulated mucin-like protein 1 [Source:HGNC Symbol;Acc:HGNC:24536]"
25876,"SPEF1","protein_coding","sperm flagellar 1 [Source:HGNC Symbol;Acc:HGNC:15874]"
2588,"GALNS","protein_coding","galactosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4122]"
25896,"INTS7","protein_coding","integrator complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:24484]"
25900,"IFFO1","protein_coding","intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]"
25989,"ULK3","protein_coding","unc-51 like kinase 3 [Source:HGNC Symbol;Acc:HGNC:19703]"
26099,"SZRD1","protein_coding","SUZ RNA binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:30232]"
26256,"CABYR","protein_coding","calcium binding tyrosine phosphorylation regulated [Source:HGNC Symbol;Acc:HGNC:15569]"
26504,"CNNM4","protein_coding","cyclin and CBS domain divalent metal cation transport mediator 4 [Source:HGNC Symbol;Acc:HGNC:105]"
26507,"CNNM1","protein_coding","cyclin and CBS domain divalent metal cation transport mediator 1 [Source:HGNC Symbol;Acc:HGNC:102]"
26589,"MRPL46","protein_coding","mitochondrial ribosomal protein L46 [Source:HGNC Symbol;Acc:HGNC:1192]"
27097,"TAF5L","protein_coding","TATA-box binding protein associated factor 5 like [Source:HGNC Symbol;Acc:HGNC:17304]"
271,"AMPD2","protein_coding","adenosine monophosphate deaminase 2 [Source:HGNC Symbol;Acc:HGNC:469]"
27154,"BRPF3","protein_coding","bromodomain and PHD finger containing 3 [Source:HGNC Symbol;Acc:HGNC:14256]"
27240,"SIT1","protein_coding","signaling threshold regulating transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:17710]"
27297,"CRCP","protein_coding","CGRP receptor component [Source:HGNC Symbol;Acc:HGNC:17888]"
27439,"TMEM121B","protein_coding","transmembrane protein 121B [Source:HGNC Symbol;Acc:HGNC:1844]"
2744,"GLS","protein_coding","glutaminase [Source:HGNC Symbol;Acc:HGNC:4331]"
283234,"CCDC88B","protein_coding","coiled-coil domain containing 88B [Source:HGNC Symbol;Acc:HGNC:26757]"
283349,"RASSF3","protein_coding","Ras association domain family member 3 [Source:HGNC Symbol;Acc:HGNC:14271]"
283571,"PROX2","protein_coding","prospero homeobox 2 [Source:HGNC Symbol;Acc:HGNC:26715]"
284352,"PPP1R37","protein_coding","protein phosphatase 1 regulatory subunit 37 [Source:HGNC Symbol;Acc:HGNC:27607]"
284353,"NKPD1","protein_coding","NTPase KAP family P-loop domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24739]"
2846,"LPAR4","protein_coding","lysophosphatidic acid receptor 4 [Source:HGNC Symbol;Acc:HGNC:4478]"
285193,"DUSP28","protein_coding","dual specificity phosphatase 28 [Source:HGNC Symbol;Acc:HGNC:33237]"
285848,"PNPLA1","protein_coding","patatin like phospholipase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21246]"
286133,"SCARA5","protein_coding","scavenger receptor class A member 5 [Source:HGNC Symbol;Acc:HGNC:28701]"
2863,"GPR39","protein_coding","G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]"
2887,"GRB10","protein_coding","growth factor receptor bound protein 10 [Source:HGNC Symbol;Acc:HGNC:4564]"
28951,"TRIB2","protein_coding","tribbles pseudokinase 2 [Source:HGNC Symbol;Acc:HGNC:30809]"
28966,"SNX24","protein_coding","sorting nexin 24 [Source:HGNC Symbol;Acc:HGNC:21533]"
29,"ABR","protein_coding","ABR, RhoGEF and GTPase activating protein [Source:HGNC Symbol;Acc:HGNC:81]"
2923,"PDIA3","protein_coding","protein disulfide isomerase family A member 3 [Source:HGNC Symbol;Acc:HGNC:4606]"
2926,"GRSF1","protein_coding","G-rich RNA sequence binding factor 1 [Source:HGNC Symbol;Acc:HGNC:4610]"
29841,"GRHL1","protein_coding","grainyhead like transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:17923]"
3067,"HDC","protein_coding","histidine decarboxylase [Source:HGNC Symbol;Acc:HGNC:4855]"
3097,"HIVEP2","protein_coding","human immunodeficiency virus type I enhancer binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4921]"
3099,"HK2","protein_coding","hexokinase 2 [Source:HGNC Symbol;Acc:HGNC:4923]"
3181,"HNRNPA2B1","protein_coding","heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:HGNC:5033]"
32,"ACACB","protein_coding","acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]"
3223,"HOXC6","protein_coding","homeobox C6 [Source:HGNC Symbol;Acc:HGNC:5128]"
3235,"HOXD9","protein_coding","homeobox D9 [Source:HGNC Symbol;Acc:HGNC:5140]"
324,"APC","protein_coding","APC, WNT signaling pathway regulator [Source:HGNC Symbol;Acc:HGNC:583]"
338442,"HCAR2","protein_coding","hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]"
339302,"CPLX4","protein_coding","complexin 4 [Source:HGNC Symbol;Acc:HGNC:24330]"
339327,"ZNF546","protein_coding","zinc finger protein 546 [Source:HGNC Symbol;Acc:HGNC:28671]"
339512,"CCDC190","protein_coding","coiled-coil domain containing 190 [Source:HGNC Symbol;Acc:HGNC:28736]"
340075,"ARSI","protein_coding","arylsulfatase family member I [Source:HGNC Symbol;Acc:HGNC:32521]"
3458,"IFNG","protein_coding","interferon gamma [Source:HGNC Symbol;Acc:HGNC:5438]"
347902,"AMIGO2","protein_coding","adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]"
348303,"SELENOV","protein_coding","selenoprotein V [Source:HGNC Symbol;Acc:HGNC:30399]"
348487,"FAM131C","protein_coding","family with sequence similarity 131 member C [Source:HGNC Symbol;Acc:HGNC:26717]"
35,"ACADS","protein_coding","acyl-CoA dehydrogenase short chain [Source:HGNC Symbol;Acc:HGNC:90]"
3596,"IL13","protein_coding","interleukin 13 [Source:HGNC Symbol;Acc:HGNC:5973]"
363,"AQP6","protein_coding","aquaporin 6 [Source:HGNC Symbol;Acc:HGNC:639]"
3743,"KCNA7","protein_coding","potassium voltage-gated channel subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:6226]"
374383,"NCR3LG1","protein_coding","natural killer cell cytotoxicity receptor 3 ligand 1 [Source:HGNC Symbol;Acc:HGNC:42400]"
374659,"HDDC3","protein_coding","HD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30522]"
3747,"KCNC2","protein_coding","potassium voltage-gated channel subfamily C member 2 [Source:HGNC Symbol;Acc:HGNC:6234]"
374819,"LRRC37A3","protein_coding","leucine rich repeat containing 37 member A3 [Source:HGNC Symbol;Acc:HGNC:32427]"
3768,"KCNJ12","protein_coding","potassium voltage-gated channel subfamily J member 12 [Source:HGNC Symbol;Acc:HGNC:6258]"
387509,"GPR153","protein_coding","G protein-coupled receptor 153 [Source:HGNC Symbol;Acc:HGNC:23618]"
388336,"SHISA6","protein_coding","shisa family member 6 [Source:HGNC Symbol;Acc:HGNC:34491]"
388662,"SLC6A17","protein_coding","solute carrier family 6 member 17 [Source:HGNC Symbol;Acc:HGNC:31399]"
3977,"LIFR","protein_coding","LIF receptor alpha [Source:HGNC Symbol;Acc:HGNC:6597]"
400359,"C15orf53","protein_coding","chromosome 15 open reading frame 53 [Source:HGNC Symbol;Acc:HGNC:33796]"
400451,"FAM174B","protein_coding","family with sequence similarity 174 member B [Source:HGNC Symbol;Acc:HGNC:34339]"
400624,"LINC01973","lincRNA","long intergenic non-protein coding RNA 1973 [Source:HGNC Symbol;Acc:HGNC:52800]"
401190,"RGS7BP","protein_coding","regulator of G protein signaling 7 binding protein [Source:HGNC Symbol;Acc:HGNC:23271]"
4012,"LNPEP","protein_coding","leucyl and cystinyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:6656]"
401265,"KLHL31","protein_coding","kelch like family member 31 [Source:HGNC Symbol;Acc:HGNC:21353]"
403314,"APOBEC4","protein_coding","apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4 [Source:HGNC Symbol;Acc:HGNC:32152]"
403341,"ZBTB34","protein_coding","zinc finger and BTB domain containing 34 [Source:HGNC Symbol;Acc:HGNC:31446]"
41,"ASIC1","protein_coding","acid sensing ion channel subunit 1 [Source:HGNC Symbol;Acc:HGNC:100]"
4135,"MAP6","protein_coding","microtubule associated protein 6 [Source:HGNC Symbol;Acc:HGNC:6868]"
414,"ARSD","protein_coding","arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]"
4152,"MBD1","protein_coding","methyl-CpG binding domain protein 1 [Source:HGNC Symbol;Acc:HGNC:6916]"
4212,"MEIS2","protein_coding","Meis homeobox 2 [Source:HGNC Symbol;Acc:HGNC:7001]"
4287,"ATXN3","protein_coding","ataxin 3 [Source:HGNC Symbol;Acc:HGNC:7106]"
441457,"NUTM2G","protein_coding","NUT family member 2G [Source:HGNC Symbol;Acc:HGNC:23449]"
441871,"PRAMEF7","protein_coding","PRAME family member 7 [Source:HGNC Symbol;Acc:HGNC:28415]"
4440,"MSI1","protein_coding","musashi RNA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:7330]"
4649,"MYO9A","protein_coding","myosin IXA [Source:HGNC Symbol;Acc:HGNC:7608]"
4660,"PPP1R12B","protein_coding","protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]"
4685,"NCAM2","protein_coding","neural cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:7657]"
4739,"NEDD9","protein_coding","neural precursor cell expressed, developmentally down-regulated 9 [Source:HGNC Symbol;Acc:HGNC:7733]"
5017,"OVOL1","protein_coding","ovo like transcriptional repressor 1 [Source:HGNC Symbol;Acc:HGNC:8525]"
51230,"PHF20","protein_coding","PHD finger protein 20 [Source:HGNC Symbol;Acc:HGNC:16098]"
51281,"ANKMY1","protein_coding","ankyrin repeat and MYND domain containing 1 [Source:HGNC Symbol;Acc:HGNC:20987]"
51291,"GMIP","protein_coding","GEM interacting protein [Source:HGNC Symbol;Acc:HGNC:24852]"
51307,"FAM53C","protein_coding","family with sequence similarity 53 member C [Source:HGNC Symbol;Acc:HGNC:1336]"
51329,"ARL6IP4","protein_coding","ADP ribosylation factor like GTPase 6 interacting protein 4 [Source:HGNC Symbol;Acc:HGNC:18076]"
51400,"PPME1","protein_coding","protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:HGNC:30178]"
51540,"SCLY","protein_coding","selenocysteine lyase [Source:HGNC Symbol;Acc:HGNC:18161]"
51547,"SIRT7","protein_coding","sirtuin 7 [Source:HGNC Symbol;Acc:HGNC:14935]"
51560,"RAB6B","protein_coding","RAB6B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:14902]"
51586,"MED15","protein_coding","mediator complex subunit 15 [Source:HGNC Symbol;Acc:HGNC:14248]"
51809,"GALNT7","protein_coding","polypeptide N-acetylgalactosaminyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:4129]"
53407,"STX18","protein_coding","syntaxin 18 [Source:HGNC Symbol;Acc:HGNC:15942]"
5373,"PMM2","protein_coding","phosphomannomutase 2 [Source:HGNC Symbol;Acc:HGNC:9115]"
54014,"BRWD1","protein_coding","bromodomain and WD repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:12760]"
54538,"ROBO4","protein_coding","roundabout guidance receptor 4 [Source:HGNC Symbol;Acc:HGNC:17985]"
54620,"FBXL19","protein_coding","F-box and leucine rich repeat protein 19 [Source:HGNC Symbol;Acc:HGNC:25300]"
54625,"PARP14","protein_coding","poly(ADP-ribose) polymerase family member 14 [Source:HGNC Symbol;Acc:HGNC:29232]"
54732,"TMED9","protein_coding","transmembrane p24 trafficking protein 9 [Source:HGNC Symbol;Acc:HGNC:24878]"
54741,"LEPROT","protein_coding","leptin receptor overlapping transcript [Source:HGNC Symbol;Acc:HGNC:29477]"
54758,"KLHDC4","protein_coding","kelch domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25272]"
54850,"FBXL12","protein_coding","F-box and leucine rich repeat protein 12 [Source:HGNC Symbol;Acc:HGNC:13611]"
54897,"CASZ1","protein_coding","castor zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:26002]"
54902,"TTC19","protein_coding","tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]"
5499,"PPP1CA","protein_coding","protein phosphatase 1 catalytic subunit alpha [Source:HGNC Symbol;Acc:HGNC:9281]"
55109,"AGGF1","protein_coding","angiogenic factor with G-patch and FHA domains 1 [Source:HGNC Symbol;Acc:HGNC:24684]"
